Organization Name,Main Category,Subcategories,Membership Duration
Feathers Badminton Club at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Fed InSight,Registered Student Organizations,"Academic, Special Interest, Student Government",Lifetime
Fellowship of Catholic University Students,Registered Student Organizations,Religious/Spiritual,Lifetime
FemMajority at George Mason University,Registered Student Organizations,Political/Activist,Lifetime
Filipino Cultural Association at George Mason University,Registered Student Organizations,International/Multicultural,Lifetime
Film at Mason,Academic Departments,"Performing/Visual Arts, Department",Lifetime
Final Round at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Financial Planning Association,Registered Student Organizations,"Academic, Special Interest",Lifetime
FINBASE at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
First Leap Academy at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
First Love,Registered Student Organizations,Religious/Spiritual,Lifetime
First Year Experience,University Life,"Academic, Department, Campus Spirit",Lifetime
Flyest at George Mason University,Registered Student Organizations,"Volunteer/Service, Political/Activist, Performing/Visual Arts",Lifetime
Folklore Roundtable,Registered Student Organizations,Academic,Lifetime
Food Recovery Network at George Mason University,Registered Student Organizations,"Volunteer/Service, Special Interest, Health/Wellness",Lifetime
Formula Watch,Registered Student Organizations,Special Interest,Lifetime
Foundation Engineering Society,Registered Student Organizations,"Academic, STEM",Lifetime
Fountain Talks,Registered Student Organizations,"Academic, Religious/Spiritual, Volunteer/Service, Special Interest, Performing/Visual Arts, Media and Communications, Campus Spirit",Lifetime
Fourth Estate,Student Media,Media and Communications,Lifetime
Fraternity and Sorority Life,University Life,"Interfraternity Council, United Greek Council, National Pan-Hellenic Council, Panhellenic Council, Department",Lifetime
Freedom Connection Rotaract,Registered Student Organizations,"Academic, Volunteer/Service, Special Interest, Political/Activist",Lifetime
French Club,Registered Student Organizations,"Academic, International/Multicultural, Special Interest",Lifetime
Friends of the Observatory,Registered Student Organizations,"Academic, STEM",Lifetime
Funding for Children's Education,Registered Student Organizations,"Academic, Volunteer/Service, Political/Activist",Lifetime
Furs and Friends at George Mason University,Registered Student Organizations,Special Interest,Lifetime
G-NONYMOUS at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, International/Multicultural, Performing/Visual Arts, Department, Mason Korea Campus, Computer/Technology",Lifetime
Game Analysis and Design Interest Group,Registered Student Organizations,Special Interest,Lifetime
GAMEmason,University Life,Computer/Technology,Lifetime
Gamma Phi Beta,Fraternity and Sorority Life,Panhellenic Council,Lifetime
Gamma Rho Lambda Sorority,Fraternity and Sorority Life,United Greek Council,Lifetime
Gender Sexuality Alliance at Mason Korea,Registered Student Organizations at Mason Korea,"Special Interest, Mason Korea Campus",Lifetime
Geography Club at Mason,Registered Student Organizations,"Academic, STEM, Special Interest",Lifetime
Geology Club,Registered Student Organizations,"Academic, STEM, Special Interest, Department",Lifetime
George Mason Chinese Program (MCL Dept.),Academic Departments,"Academic, International/Multicultural, Department",Lifetime
George Mason Club Archery,Club Sports,Sports,1 Year
George Mason Club Softball,Club Sports,Sports,Lifetime
George Mason Crew Club,Club Sports,Sports,Lifetime
George Mason Esports,Campus-Wide Organizations,"Special Interest, Sports, Department, Computer/Technology",Lifetime
George Mason Fencing Club,Club Sports,Sports,Lifetime
George Mason Men's Club Soccer,Club Sports,Sports,Lifetime
George Mason University Homecoming,University Life,"Department, Campus Spirit",Lifetime
George Mason University Toastmasters,Campus-Wide Organizations,Special Interest,Lifetime
German Language and Culture Association,Registered Student Organizations,"Academic, International/Multicultural, Special Interest",Lifetime
Ghanaian Community at George Mason University,Registered Student Organizations,International/Multicultural,Lifetime
Girl Up at George Mason University,Registered Student Organizations,"Volunteer/Service, Health/Wellness",5 Years
Girls in Health,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Health/Wellness",Lifetime
Girls Who Code at George Mason University,Registered Student Organizations,"Academic, STEM, Special Interest, Computer/Technology",Lifetime
Girls Who Study,Registered Student Organizations,Academic,Lifetime
Global Action In Nursing,Registered Student Organizations,"International/Multicultural, STEM, Volunteer/Service, Special Interest, Health/Wellness",Lifetime
Global Affairs,Academic Departments,"Academic, Department",Lifetime
Global Affairs Club,Registered Student Organizations,Academic,Lifetime
Global Dialogue at George Mason University,Registered Student Organizations,"Academic, International/Multicultural, Political/Activist, Media and Communications",Lifetime
Global Education Office,Mason Centers/Affiliates,"Academic, Department",1 Year
Global Medical Missions Alliance,Registered Student Organizations,"Volunteer/Service, Health/Wellness",Lifetime
GMU Brazilian Jiu-Jitsu,Club Sports,"Health/Wellness, Sports",Lifetime
GMU Club Tennis,Club Sports,"Health/Wellness, Graduate Student Organization, Sports, Campus Spirit",Lifetime
GMU Men's Lacrosse Club,Club Sports,Sports,Lifetime
GMU Men's Rugby Football Club,Club Sports,"Health/Wellness, Sports",Lifetime
GMU Psychology Department,Academic Departments,"Department, Fairfax Campus",Lifetime
GMU Trap and Skeet,Club Sports,"Volunteer/Service, Special Interest, Health/Wellness, Sports",Lifetime
